Question;Condition;X1;X2;T1;T2;LaterOptionChosen
1;1;5;10;2;6;1
1;1;5;10;2;6;1
1;1;5;10;2;6;1
1;1;5;10;2;6;1
1;1;5;10;2;6;0
1;1;5;10;2;6;0
1;1;5;10;2;6;1
1;1;5;10;2;6;1
1;1;5;10;2;6;1
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;2;5;10;2;6;1
1;2;5;10;2;6;1
1;2;5;10;2;6;1
1;2;5;10;2;6;1
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;3;5;10;2;6;0
1;3;5;10;2;6;1
1;3;5;10;2;6;0
1;3;5;10;2;6;0
1;3;5;10;2;6;1
1;3;5;10;2;6;1
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;;5;10;2;6;
1;4;5;10;2;6;0
1;4;5;10;2;6;1
1;4;5;10;2;6;1
1;4;5;10;2;6;1
1;4;5;10;2;6;1
1;4;5;10;2;6;1
1;4;5;10;2;6;1
;;;;;;
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;0
2;1;4;6;2;6;1
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;2;4;6;2;6;0
2;2;4;6;2;6;0
2;2;4;6;2;6;1
2;2;4;6;2;6;1
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;;4;6;2;6;
2;3;4;6;2;6;0
2;3;4;6;2;6;1
