"","Question","Condition","X1","X2","T1","T2","LaterOptionChosen"
"1",1,1,5,10,2,6,1
"2",1,1,5,10,2,6,1
"3",1,1,5,10,2,6,1
"4",1,1,5,10,2,6,1
"5",1,1,5,10,2,6,0
"6",1,1,5,10,2,6,1
"7",1,1,5,10,2,6,1
"8",1,1,5,10,2,6,1
"9",1,1,5,10,2,6,1
"10",1,1,5,10,2,6,1
"11",1,1,5,10,2,6,1
"12",1,1,5,10,2,6,1
"13",1,1,5,10,2,6,1
"14",1,1,5,10,2,6,1
"15",1,1,5,10,2,6,1
"16",1,1,5,10,2,6,0
"17",1,1,5,10,2,6,1
"18",1,2,5,10,2,6,1
"19",1,2,5,10,2,6,1
"20",1,2,5,10,2,6,1
"21",1,2,5,10,2,6,1
"22",1,2,5,10,2,6,0
"23",1,2,5,10,2,6,1
"24",1,2,5,10,2,6,1
"25",1,2,5,10,2,6,1
"26",1,2,5,10,2,6,1
"27",1,3,5,10,2,6,0
"28",1,3,5,10,2,6,1
"29",1,3,5,10,2,6,0
"30",1,3,5,10,2,6,0
"31",1,3,5,10,2,6,1
"32",1,3,5,10,2,6,1
"33",1,3,5,10,2,6,1
"34",1,3,5,10,2,6,1
"35",1,3,5,10,2,6,0
"36",1,4,5,10,2,6,0
"37",1,4,5,10,2,6,1
"38",1,4,5,10,2,6,1
"39",1,4,5,10,2,6,1
"40",1,4,5,10,2,6,1
"41",1,4,5,10,2,6,1
"42",1,4,5,10,2,6,1
"43",1,4,5,10,2,6,0
"44",1,4,5,10,2,6,1
"45",1,4,5,10,2,6,1
"46",1,4,5,10,2,6,1
"47",1,4,5,10,2,6,0
"48",1,4,5,10,2,6,0
"49",1,4,5,10,2,6,1
"50",1,4,5,10,2,6,0
"51",2,1,4,6,2,6,0
"52",2,1,4,6,2,6,0
"53",2,1,4,6,2,6,1
"54",2,1,4,6,2,6,1
"55",2,1,4,6,2,6,0
"56",2,1,4,6,2,6,1
"57",2,1,4,6,2,6,1
"58",2,1,4,6,2,6,0
"59",2,1,4,6,2,6,1
"60",2,1,4,6,2,6,1
"61",2,1,4,6,2,6,0
"62",2,1,4,6,2,6,1
"63",2,1,4,6,2,6,1
"64",2,1,4,6,2,6,1
"65",2,1,4,6,2,6,0
"66",2,1,4,6,2,6,0
"67",2,1,4,6,2,6,0
"68",2,2,4,6,2,6,0
"69",2,2,4,6,2,6,0
"70",2,2,4,6,2,6,1
"71",2,2,4,6,2,6,1
"72",2,2,4,6,2,6,0
"73",2,2,4,6,2,6,0
"74",2,2,4,6,2,6,1
"75",2,2,4,6,2,6,1
"76",2,2,4,6,2,6,0
"77",2,3,4,6,2,6,0
"78",2,3,4,6,2,6,1
"79",2,3,4,6,2,6,0
"80",2,3,4,6,2,6,0
"81",2,3,4,6,2,6,1
"82",2,3,4,6,2,6,1
"83",2,3,4,6,2,6,1
"84",2,3,4,6,2,6,1
"85",2,3,4,6,2,6,0
"86",2,4,4,6,2,6,0
"87",2,4,4,6,2,6,0
"88",2,4,4,6,2,6,1
"89",2,4,4,6,2,6,0
"90",2,4,4,6,2,6,0
"91",2,4,4,6,2,6,1
"92",2,4,4,6,2,6,1
"93",2,4,4,6,2,6,0
"94",2,4,4,6,2,6,1
"95",2,4,4,6,2,6,1
"96",2,4,4,6,2,6,1
"97",2,4,4,6,2,6,0
"98",2,4,4,6,2,6,1
"99",2,4,4,6,2,6,1
"100",2,4,4,6,2,6,0
"101",3,1,13,20,2,6,1
"102",3,1,13,20,2,6,1
"103",3,1,13,20,2,6,1
"104",3,1,13,20,2,6,1
"105",3,1,13,20,2,6,1
"106",3,1,13,20,2,6,1
"107",3,1,13,20,2,6,1
"108",3,1,13,20,2,6,1
"109",3,1,13,20,2,6,1
"110",3,1,13,20,2,6,1
"111",3,1,13,20,2,6,0
"112",3,1,13,20,2,6,1
"113",3,1,13,20,2,6,1
"114",3,1,13,20,2,6,1
"115",3,1,13,20,2,6,1
"116",3,1,13,20,2,6,1
"117",3,1,13,20,2,6,1
"118",3,2,13,20,2,6,1
"119",3,2,13,20,2,6,1
"120",3,2,13,20,2,6,1
"121",3,2,13,20,2,6,0
"122",3,2,13,20,2,6,0
"123",3,2,13,20,2,6,1
"124",3,2,13,20,2,6,0
"125",3,2,13,20,2,6,1
"126",3,2,13,20,2,6,1
"127",3,3,13,20,2,6,0
"128",3,3,13,20,2,6,1
"129",3,3,13,20,2,6,0
"130",3,3,13,20,2,6,1
"131",3,3,13,20,2,6,1
"132",3,3,13,20,2,6,1
"133",3,3,13,20,2,6,1
"134",3,3,13,20,2,6,1
"135",3,3,13,20,2,6,0
"136",3,4,13,20,2,6,1
"137",3,4,13,20,2,6,0
"138",3,4,13,20,2,6,1
"139",3,4,13,20,2,6,1
"140",3,4,13,20,2,6,1
"141",3,4,13,20,2,6,1
"142",3,4,13,20,2,6,1
"143",3,4,13,20,2,6,0
"144",3,4,13,20,2,6,1
"145",3,4,13,20,2,6,1
"146",3,4,13,20,2,6,0
"147",3,4,13,20,2,6,0
"148",3,4,13,20,2,6,1
"149",3,4,13,20,2,6,1
"150",3,4,13,20,2,6,0
"151",4,1,5,15,2,6,1
"152",4,1,5,15,2,6,1
"153",4,1,5,15,2,6,1
"154",4,1,5,15,2,6,1
"155",4,1,5,15,2,6,1
"156",4,1,5,15,2,6,1
"157",4,1,5,15,2,6,1
"158",4,1,5,15,2,6,1
"159",4,1,5,15,2,6,1
"160",4,1,5,15,2,6,1
"161",4,1,5,15,2,6,1
"162",4,1,5,15,2,6,1
"163",4,1,5,15,2,6,1
"164",4,1,5,15,2,6,1
"165",4,1,5,15,2,6,1
"166",4,1,5,15,2,6,1
"167",4,1,5,15,2,6,1
"168",4,2,5,15,2,6,1
"169",4,2,5,15,2,6,1
"170",4,2,5,15,2,6,1
"171",4,2,5,15,2,6,1
"172",4,2,5,15,2,6,1
"173",4,2,5,15,2,6,1
"174",4,2,5,15,2,6,1
"175",4,2,5,15,2,6,1
"176",4,2,5,15,2,6,1
"177",4,3,5,15,2,6,1
"178",4,3,5,15,2,6,1
"179",4,3,5,15,2,6,1
"180",4,3,5,15,2,6,0
"181",4,3,5,15,2,6,1
"182",4,3,5,15,2,6,1
"183",4,3,5,15,2,6,1
"184",4,3,5,15,2,6,1
"185",4,3,5,15,2,6,0
"186",4,4,5,15,2,6,1
"187",4,4,5,15,2,6,1
"188",4,4,5,15,2,6,1
"189",4,4,5,15,2,6,1
"190",4,4,5,15,2,6,1
"191",4,4,5,15,2,6,1
"192",4,4,5,15,2,6,1
"193",4,4,5,15,2,6,0
"194",4,4,5,15,2,6,1
"195",4,4,5,15,2,6,1
"196",4,4,5,15,2,6,1
"197",4,4,5,15,2,6,1
"198",4,4,5,15,2,6,1
"199",4,4,5,15,2,6,1
"200",4,4,5,15,2,6,0
"201",4,4,5,15,2,6,0
"202",5,1,4,12,2,6,0
"203",5,1,4,12,2,6,1
"204",5,1,4,12,2,6,1
"205",5,1,4,12,2,6,1
"206",5,1,4,12,2,6,1
"207",5,1,4,12,2,6,1
"208",5,1,4,12,2,6,1
"209",5,1,4,12,2,6,1
"210",5,1,4,12,2,6,1
"211",5,1,4,12,2,6,1
"212",5,1,4,12,2,6,1
"213",5,1,4,12,2,6,1
"214",5,1,4,12,2,6,1
"215",5,1,4,12,2,6,1
"216",5,1,4,12,2,6,1
"217",5,1,4,12,2,6,1
"218",5,1,4,12,2,6,1
"219",5,2,4,12,2,6,1
"220",5,2,4,12,2,6,1
"221",5,2,4,12,2,6,1
"222",5,2,4,12,2,6,0
"223",5,2,4,12,2,6,1
"224",5,2,4,12,2,6,1
"225",5,2,4,12,2,6,1
"226",5,2,4,12,2,6,1
"227",5,2,4,12,2,6,1
"228",5,3,4,12,2,6,1
"229",5,3,4,12,2,6,1
"230",5,3,4,12,2,6,1
"231",5,3,4,12,2,6,0
"232",5,3,4,12,2,6,1
"233",5,3,4,12,2,6,1
"234",5,3,4,12,2,6,1
"235",5,3,4,12,2,6,1
"236",5,3,4,12,2,6,0
"237",5,4,4,12,2,6,1
"238",5,4,4,12,2,6,1
"239",5,4,4,12,2,6,1
"240",5,4,4,12,2,6,1
"241",5,4,4,12,2,6,1
"242",5,4,4,12,2,6,1
"243",5,4,4,12,2,6,1
"244",5,4,4,12,2,6,0
"245",5,4,4,12,2,6,1
"246",5,4,4,12,2,6,1
"247",5,4,4,12,2,6,1
"248",5,4,4,12,2,6,1
"249",5,4,4,12,2,6,1
"250",5,4,4,12,2,6,1
"251",5,4,4,12,2,6,0
"252",6,1,1,4,2,6,1
"253",6,1,1,4,2,6,1
"254",6,1,1,4,2,6,1
"255",6,1,1,4,2,6,1
"256",6,1,1,4,2,6,1
"257",6,1,1,4,2,6,1
"258",6,1,1,4,2,6,1
"259",6,1,1,4,2,6,1
"260",6,1,1,4,2,6,1
"261",6,1,1,4,2,6,1
"262",6,1,1,4,2,6,1
"263",6,1,1,4,2,6,1
"264",6,1,1,4,2,6,1
"265",6,1,1,4,2,6,1
"266",6,1,1,4,2,6,1
"267",6,1,1,4,2,6,0
"268",6,1,1,4,2,6,1
"269",6,2,1,4,2,6,1
"270",6,2,1,4,2,6,1
"271",6,2,1,4,2,6,1
"272",6,2,1,4,2,6,0
"273",6,2,1,4,2,6,1
"274",6,2,1,4,2,6,1
"275",6,2,1,4,2,6,0
"276",6,2,1,4,2,6,1
"277",6,2,1,4,2,6,0
"278",6,3,1,4,2,6,1
"279",6,3,1,4,2,6,1
"280",6,3,1,4,2,6,1
"281",6,3,1,4,2,6,1
"282",6,3,1,4,2,6,1
"283",6,3,1,4,2,6,1
"284",6,3,1,4,2,6,1
"285",6,3,1,4,2,6,1
"286",6,3,1,4,2,6,0
"287",6,4,1,4,2,6,0
"288",6,4,1,4,2,6,1
"289",6,4,1,4,2,6,1
"290",6,4,1,4,2,6,1
"291",6,4,1,4,2,6,1
"292",6,4,1,4,2,6,1
"293",6,4,1,4,2,6,1
"294",6,4,1,4,2,6,0
"295",6,4,1,4,2,6,1
"296",6,4,1,4,2,6,0
"297",6,4,1,4,2,6,1
"298",6,4,1,4,2,6,1
"299",6,4,1,4,2,6,0
"300",6,4,1,4,2,6,1
"301",6,4,1,4,2,6,1
"302",7,1,7,14,2,6,1
"303",7,1,7,14,2,6,1
"304",7,1,7,14,2,6,1
"305",7,1,7,14,2,6,1
"306",7,1,7,14,2,6,0
"307",7,1,7,14,2,6,1
"308",7,1,7,14,2,6,1
"309",7,1,7,14,2,6,1
"310",7,1,7,14,2,6,1
"311",7,1,7,14,2,6,1
"312",7,1,7,14,2,6,1
"313",7,1,7,14,2,6,1
"314",7,1,7,14,2,6,1
"315",7,1,7,14,2,6,1
"316",7,1,7,14,2,6,1
"317",7,1,7,14,2,6,1
"318",7,1,7,14,2,6,1
"319",7,2,7,14,2,6,1
"320",7,2,7,14,2,6,1
"321",7,2,7,14,2,6,1
"322",7,2,7,14,2,6,0
"323",7,2,7,14,2,6,0
"324",7,2,7,14,2,6,1
"325",7,2,7,14,2,6,1
"326",7,2,7,14,2,6,1
"327",7,2,7,14,2,6,0
"328",7,3,7,14,2,6,1
"329",7,3,7,14,2,6,1
"330",7,3,7,14,2,6,1
"331",7,3,7,14,2,6,0
"332",7,3,7,14,2,6,1
"333",7,3,7,14,2,6,1
"334",7,3,7,14,2,6,1
"335",7,3,7,14,2,6,1
"336",7,3,7,14,2,6,0
"337",7,4,7,14,2,6,1
"338",7,4,7,14,2,6,1
"339",7,4,7,14,2,6,1
"340",7,4,7,14,2,6,1
"341",7,4,7,14,2,6,1
"342",7,4,7,14,2,6,1
"343",7,4,7,14,2,6,1
"344",7,4,7,14,2,6,0
"345",7,4,7,14,2,6,1
"346",7,4,7,14,2,6,1
"347",7,4,7,14,2,6,0
"348",7,4,7,14,2,6,1
"349",7,4,7,14,2,6,1
"350",7,4,7,14,2,6,1
"351",7,4,7,14,2,6,1
"352",8,1,8,10,2,6,0
"353",8,1,8,10,2,6,0
"354",8,1,8,10,2,6,1
"355",8,1,8,10,2,6,1
"356",8,1,8,10,2,6,0
"357",8,1,8,10,2,6,0
"358",8,1,8,10,2,6,1
"359",8,1,8,10,2,6,0
"360",8,1,8,10,2,6,1
"361",8,1,8,10,2,6,0
"362",8,1,8,10,2,6,0
"363",8,1,8,10,2,6,0
"364",8,1,8,10,2,6,1
"365",8,1,8,10,2,6,1
"366",8,1,8,10,2,6,0
"367",8,1,8,10,2,6,0
"368",8,1,8,10,2,6,0
"369",8,2,8,10,2,6,0
"370",8,2,8,10,2,6,1
"371",8,2,8,10,2,6,1
"372",8,2,8,10,2,6,0
"373",8,2,8,10,2,6,0
"374",8,2,8,10,2,6,0
"375",8,2,8,10,2,6,0
"376",8,2,8,10,2,6,1
"377",8,2,8,10,2,6,0
"378",8,3,8,10,2,6,0
"379",8,3,8,10,2,6,1
"380",8,3,8,10,2,6,0
"381",8,3,8,10,2,6,0
"382",8,3,8,10,2,6,1
"383",8,3,8,10,2,6,1
"384",8,3,8,10,2,6,1
"385",8,3,8,10,2,6,1
"386",8,3,8,10,2,6,0
"387",8,4,8,10,2,6,1
"388",8,4,8,10,2,6,1
"389",8,4,8,10,2,6,1
"390",8,4,8,10,2,6,1
"391",8,4,8,10,2,6,0
"392",8,4,8,10,2,6,1
"393",8,4,8,10,2,6,1
"394",8,4,8,10,2,6,0
"395",8,4,8,10,2,6,1
"396",8,4,8,10,2,6,0
"397",8,4,8,10,2,6,0
"398",8,4,8,10,2,6,1
"399",8,4,8,10,2,6,0
"400",8,4,8,10,2,6,0
"401",8,4,8,10,2,6,0
"402",9,1,5,10,2,3,1
"403",9,1,5,10,2,3,1
"404",9,1,5,10,2,3,1
"405",9,1,5,10,2,3,1
"406",9,1,5,10,2,3,0
"407",9,1,5,10,2,3,1
"408",9,1,5,10,2,3,1
"409",9,1,5,10,2,3,1
"410",9,1,5,10,2,3,1
"411",9,1,5,10,2,3,1
"412",9,1,5,10,2,3,1
"413",9,1,5,10,2,3,1
"414",9,1,5,10,2,3,1
"415",9,1,5,10,2,3,1
"416",9,1,5,10,2,3,1
"417",9,1,5,10,2,3,1
"418",9,1,5,10,2,3,1
"419",9,2,5,10,2,3,1
"420",9,2,5,10,2,3,1
"421",9,2,5,10,2,3,1
"422",9,2,5,10,2,3,1
"423",9,2,5,10,2,3,0
"424",9,2,5,10,2,3,1
"425",9,2,5,10,2,3,1
"426",9,2,5,10,2,3,1
"427",9,2,5,10,2,3,1
"428",9,3,5,10,2,3,1
"429",9,3,5,10,2,3,1
"430",9,3,5,10,2,3,1
"431",9,3,5,10,2,3,0
"432",9,3,5,10,2,3,1
"433",9,3,5,10,2,3,1
"434",9,3,5,10,2,3,1
"435",9,3,5,10,2,3,1
"436",9,3,5,10,2,3,0
"437",9,4,5,10,2,3,1
"438",9,4,5,10,2,3,1
"439",9,4,5,10,2,3,1
"440",9,4,5,10,2,3,1
"441",9,4,5,10,2,3,1
"442",9,4,5,10,2,3,1
"443",9,4,5,10,2,3,1
"444",9,4,5,10,2,3,1
"445",9,4,5,10,2,3,1
"446",9,4,5,10,2,3,1
"447",9,4,5,10,2,3,1
"448",9,4,5,10,2,3,1
"449",9,4,5,10,2,3,1
"450",9,4,5,10,2,3,1
"451",9,4,5,10,2,3,1
"452",10,1,5,10,2,4,1
"453",10,1,5,10,2,4,1
"454",10,1,5,10,2,4,1
"455",10,1,5,10,2,4,1
"456",10,1,5,10,2,4,1
"457",10,1,5,10,2,4,1
"458",10,1,5,10,2,4,1
"459",10,1,5,10,2,4,1
"460",10,1,5,10,2,4,1
"461",10,1,5,10,2,4,1
"462",10,1,5,10,2,4,1
"463",10,1,5,10,2,4,1
"464",10,1,5,10,2,4,1
"465",10,1,5,10,2,4,1
"466",10,1,5,10,2,4,1
"467",10,1,5,10,2,4,1
"468",10,1,5,10,2,4,1
"469",10,2,5,10,2,4,1
"470",10,2,5,10,2,4,1
"471",10,2,5,10,2,4,1
"472",10,2,5,10,2,4,0
"473",10,2,5,10,2,4,0
"474",10,2,5,10,2,4,1
"475",10,2,5,10,2,4,0
"476",10,2,5,10,2,4,1
"477",10,2,5,10,2,4,1
"478",10,3,5,10,2,4,1
"479",10,3,5,10,2,4,1
"480",10,3,5,10,2,4,1
"481",10,3,5,10,2,4,1
"482",10,3,5,10,2,4,1
"483",10,3,5,10,2,4,1
"484",10,3,5,10,2,4,1
"485",10,3,5,10,2,4,1
"486",10,3,5,10,2,4,0
"487",10,4,5,10,2,4,1
"488",10,4,5,10,2,4,1
"489",10,4,5,10,2,4,1
"490",10,4,5,10,2,4,1
"491",10,4,5,10,2,4,1
"492",10,4,5,10,2,4,1
"493",10,4,5,10,2,4,1
"494",10,4,5,10,2,4,0
"495",10,4,5,10,2,4,1
"496",10,4,5,10,2,4,1
"497",10,4,5,10,2,4,0
"498",10,4,5,10,2,4,1
"499",10,4,5,10,2,4,1
"500",10,4,5,10,2,4,1
"501",10,4,5,10,2,4,0
"502",11,1,5,10,2,5,1
"503",11,1,5,10,2,5,1
"504",11,1,5,10,2,5,1
"505",11,1,5,10,2,5,1
"506",11,1,5,10,2,5,1
"507",11,1,5,10,2,5,1
"508",11,1,5,10,2,5,1
"509",11,1,5,10,2,5,1
"510",11,1,5,10,2,5,1
"511",11,1,5,10,2,5,1
"512",11,1,5,10,2,5,0
"513",11,1,5,10,2,5,1
"514",11,1,5,10,2,5,1
"515",11,1,5,10,2,5,1
"516",11,1,5,10,2,5,1
"517",11,1,5,10,2,5,1
"518",11,1,5,10,2,5,1
"519",11,2,5,10,2,5,1
"520",11,2,5,10,2,5,1
"521",11,2,5,10,2,5,1
"522",11,2,5,10,2,5,0
"523",11,2,5,10,2,5,0
"524",11,2,5,10,2,5,1
"525",11,2,5,10,2,5,1
"526",11,2,5,10,2,5,1
"527",11,2,5,10,2,5,0
"528",11,3,5,10,2,5,1
"529",11,3,5,10,2,5,0
"530",11,3,5,10,2,5,0
"531",11,3,5,10,2,5,0
"532",11,3,5,10,2,5,1
"533",11,3,5,10,2,5,1
"534",11,3,5,10,2,5,1
"535",11,3,5,10,2,5,1
"536",11,3,5,10,2,5,0
"537",11,4,5,10,2,5,0
"538",11,4,5,10,2,5,1
"539",11,4,5,10,2,5,1
"540",11,4,5,10,2,5,1
"541",11,4,5,10,2,5,1
"542",11,4,5,10,2,5,1
"543",11,4,5,10,2,5,1
"544",11,4,5,10,2,5,0
"545",11,4,5,10,2,5,1
"546",11,4,5,10,2,5,1
"547",11,4,5,10,2,5,1
"548",11,4,5,10,2,5,1
"549",11,4,5,10,2,5,0
"550",11,4,5,10,2,5,1
"551",11,4,5,10,2,5,0
"552",12,1,5,10,3,5,1
"553",12,1,5,10,3,5,1
"554",12,1,5,10,3,5,1
"555",12,1,5,10,3,5,1
"556",12,1,5,10,3,5,1
"557",12,1,5,10,3,5,1
"558",12,1,5,10,3,5,1
"559",12,1,5,10,3,5,1
"560",12,1,5,10,3,5,1
"561",12,1,5,10,3,5,1
"562",12,1,5,10,3,5,1
"563",12,1,5,10,3,5,1
"564",12,1,5,10,3,5,1
"565",12,1,5,10,3,5,1
"566",12,1,5,10,3,5,1
"567",12,1,5,10,3,5,1
"568",12,1,5,10,3,5,1
"569",12,2,5,10,3,5,1
"570",12,2,5,10,3,5,1
"571",12,2,5,10,3,5,1
"572",12,2,5,10,3,5,1
"573",12,2,5,10,3,5,1
"574",12,2,5,10,3,5,1
"575",12,2,5,10,3,5,1
"576",12,2,5,10,3,5,1
"577",12,2,5,10,3,5,1
"578",12,3,5,10,3,5,1
"579",12,3,5,10,3,5,1
"580",12,3,5,10,3,5,1
"581",12,3,5,10,3,5,1
"582",12,3,5,10,3,5,1
"583",12,3,5,10,3,5,1
"584",12,3,5,10,3,5,1
"585",12,3,5,10,3,5,1
"586",12,3,5,10,3,5,0
"587",12,4,5,10,3,5,0
"588",12,4,5,10,3,5,1
"589",12,4,5,10,3,5,1
"590",12,4,5,10,3,5,1
"591",12,4,5,10,3,5,1
"592",12,4,5,10,3,5,1
"593",12,4,5,10,3,5,1
"594",12,4,5,10,3,5,0
"595",12,4,5,10,3,5,1
"596",12,4,5,10,3,5,1
"597",12,4,5,10,3,5,1
"598",12,4,5,10,3,5,1
"599",12,4,5,10,3,5,1
"600",12,4,5,10,3,5,1
"601",12,4,5,10,3,5,1
"602",13,1,13,20,2,3,1
"603",13,1,13,20,2,3,1
"604",13,1,13,20,2,3,1
"605",13,1,13,20,2,3,1
"606",13,1,13,20,2,3,1
"607",13,1,13,20,2,3,1
"608",13,1,13,20,2,3,1
"609",13,1,13,20,2,3,1
"610",13,1,13,20,2,3,1
"611",13,1,13,20,2,3,1
"612",13,1,13,20,2,3,1
"613",13,1,13,20,2,3,1
"614",13,1,13,20,2,3,1
"615",13,1,13,20,2,3,1
"616",13,1,13,20,2,3,1
"617",13,1,13,20,2,3,1
"618",13,1,13,20,2,3,1
"619",13,2,13,20,2,3,0
"620",13,2,13,20,2,3,1
"621",13,2,13,20,2,3,1
"622",13,2,13,20,2,3,0
"623",13,2,13,20,2,3,1
"624",13,2,13,20,2,3,1
"625",13,2,13,20,2,3,1
"626",13,2,13,20,2,3,1
"627",13,2,13,20,2,3,1
"628",13,3,13,20,2,3,1
"629",13,3,13,20,2,3,1
"630",13,3,13,20,2,3,1
"631",13,3,13,20,2,3,0
"632",13,3,13,20,2,3,1
"633",13,3,13,20,2,3,1
"634",13,3,13,20,2,3,1
"635",13,3,13,20,2,3,1
"636",13,3,13,20,2,3,0
"637",13,4,13,20,2,3,1
"638",13,4,13,20,2,3,1
"639",13,4,13,20,2,3,1
"640",13,4,13,20,2,3,1
"641",13,4,13,20,2,3,1
"642",13,4,13,20,2,3,1
"643",13,4,13,20,2,3,1
"644",13,4,13,20,2,3,1
"645",13,4,13,20,2,3,1
"646",13,4,13,20,2,3,1
"647",13,4,13,20,2,3,0
"648",13,4,13,20,2,3,1
"649",13,4,13,20,2,3,1
"650",13,4,13,20,2,3,1
"651",13,4,13,20,2,3,1
"652",14,1,13,20,2,7,0
"653",14,1,13,20,2,7,1
"654",14,1,13,20,2,7,1
"655",14,1,13,20,2,7,1
"656",14,1,13,20,2,7,0
"657",14,1,13,20,2,7,1
"658",14,1,13,20,2,7,1
"659",14,1,13,20,2,7,0
"660",14,1,13,20,2,7,1
"661",14,1,13,20,2,7,1
"662",14,1,13,20,2,7,0
"663",14,1,13,20,2,7,0
"664",14,1,13,20,2,7,1
"665",14,1,13,20,2,7,1
"666",14,1,13,20,2,7,0
"667",14,1,13,20,2,7,0
"668",14,1,13,20,2,7,0
"669",14,2,13,20,2,7,0
"670",14,2,13,20,2,7,0
"671",14,2,13,20,2,7,0
"672",14,2,13,20,2,7,0
"673",14,2,13,20,2,7,0
"674",14,2,13,20,2,7,0
"675",14,2,13,20,2,7,0
"676",14,2,13,20,2,7,1
"677",14,2,13,20,2,7,0
"678",14,3,13,20,2,7,0
"679",14,3,13,20,2,7,1
"680",14,3,13,20,2,7,0
"681",14,3,13,20,2,7,0
"682",14,3,13,20,2,7,1
"683",14,3,13,20,2,7,1
"684",14,3,13,20,2,7,1
"685",14,3,13,20,2,7,1
"686",14,3,13,20,2,7,0
"687",14,4,13,20,2,7,1
"688",14,4,13,20,2,7,1
"689",14,4,13,20,2,7,1
"690",14,4,13,20,2,7,1
"691",14,4,13,20,2,7,1
"692",14,4,13,20,2,7,1
"693",14,4,13,20,2,7,1
"694",14,4,13,20,2,7,0
"695",14,4,13,20,2,7,1
"696",14,4,13,20,2,7,1
"697",14,4,13,20,2,7,0
"698",14,4,13,20,2,7,1
"699",14,4,13,20,2,7,0
"700",14,4,13,20,2,7,0
"701",14,4,13,20,2,7,0
"702",15,1,13,20,4,7,1
"703",15,1,13,20,4,7,1
"704",15,1,13,20,4,7,1
"705",15,1,13,20,4,7,1
"706",15,1,13,20,4,7,0
"707",15,1,13,20,4,7,1
"708",15,1,13,20,4,7,1
"709",15,1,13,20,4,7,0
"710",15,1,13,20,4,7,1
"711",15,1,13,20,4,7,1
"712",15,1,13,20,4,7,1
"713",15,1,13,20,4,7,1
"714",15,1,13,20,4,7,1
"715",15,1,13,20,4,7,1
"716",15,1,13,20,4,7,1
"717",15,1,13,20,4,7,1
"718",15,1,13,20,4,7,1
"719",15,2,13,20,4,7,0
"720",15,2,13,20,4,7,1
"721",15,2,13,20,4,7,0
"722",15,2,13,20,4,7,0
"723",15,2,13,20,4,7,1
"724",15,2,13,20,4,7,1
"725",15,2,13,20,4,7,1
"726",15,2,13,20,4,7,1
"727",15,2,13,20,4,7,0
"728",15,3,13,20,4,7,1
"729",15,3,13,20,4,7,1
"730",15,3,13,20,4,7,1
"731",15,3,13,20,4,7,0
"732",15,3,13,20,4,7,1
"733",15,3,13,20,4,7,1
"734",15,3,13,20,4,7,1
"735",15,3,13,20,4,7,1
"736",15,3,13,20,4,7,0
"737",15,4,13,20,4,7,1
"738",15,4,13,20,4,7,1
