"condition","Iteration","InSampleError","Error","Model"
0,1,0.353786395940396,0.356697171381213,"Baseline"
0,2,0.355580410907145,0.354891846921997,"Baseline"
0,3,0.353786395940396,0.356697171381213,"Baseline"
0,4,0.366111943211929,0.344758735441227,"Baseline"
0,5,0.350165143507517,0.360407653910301,"Baseline"
0,6,0.360896010808616,0.349675540765639,"Baseline"
0,7,0.364384373243952,0.346364392679147,"Baseline"
0,8,0.367828439013441,0.34318635607352,"Baseline"
0,9,0.371228208117081,0.340141430948755,"Baseline"
0,10,0.355580410907145,0.354891846921997,"Baseline"
0,11,0.360896010808616,0.349675540765639,"Baseline"
0,12,0.350165143507517,0.360407653910301,"Baseline"
0,13,0.346499594408792,0.364251247920256,"Baseline"
0,14,0.33903560621381,0.372337770382771,"Baseline"
0,15,0.337141923748909,0.37444259567394,"Baseline"
0,16,0.366111943211928,0.344758735441226,"Baseline"
0,17,0.351981306807189,0.35853577371065,"Baseline"
0,18,0.359135218341252,0.351381031614206,"Baseline"
0,19,0.355580410907145,0.354891846921997,"Baseline"
0,20,0.362645729109514,0.348003327787284,"Baseline"
0,21,0.360896010808616,0.349675540765639,"Baseline"
0,22,0.355580410907146,0.354891846921997,"Baseline"
0,23,0.351981306807189,0.358535773710651,"Baseline"
0,24,0.350165143507517,0.360407653910301,"Baseline"
0,25,0.348337906041387,0.362312811980171,"Baseline"
0,26,0.333321336319733,0.378752079866937,"Baseline"
0,27,0.362645729109516,0.348003327787286,"Baseline"
0,28,0.364384373243953,0.346364392679147,"Baseline"
0,29,0.342789748644224,0.36822795341108,"Baseline"
0,30,0.353786395940396,0.356697171381213,"Baseline"
0,31,0.353786395940396,0.356697171381213,"Baseline"
0,32,0.359135218341252,0.351381031614206,"Baseline"
0,33,0.360896010808615,0.349675540765638,"Baseline"
0,34,0.359135218341252,0.351381031614207,"Baseline"
0,35,0.364384373243952,0.346364392679147,"Baseline"
0,36,0.340918214512248,0.370266222961817,"Baseline"
0,37,0.346499594408792,0.364251247920256,"Baseline"
0,38,0.357363351707428,0.353119800332992,"Baseline"
0,39,0.353786395940396,0.356697171381213,"Baseline"
0,40,0.357363351707428,0.353119800332992,"Baseline"
0,41,0.355580410907146,0.354891846921997,"Baseline"
0,42,0.360896010808615,0.349675540765638,"Baseline"
0,43,0.353786395940396,0.356697171381213,"Baseline"
0,44,0.360896010808616,0.349675540765639,"Baseline"
0,45,0.344650208609739,0.36622296173056,"Baseline"
0,46,0.355580410907146,0.354891846921997,"Baseline"
0,47,0.355580410907146,0.354891846921997,"Baseline"
0,48,0.366111943211928,0.344758735441226,"Baseline"
0,49,0.359135218341252,0.351381031614206,"Baseline"
0,50,0.350165143507517,0.360407653910301,"Baseline"
0,51,0.355580410907146,0.354891846921997,"Baseline"
0,52,0.351981306807189,0.35853577371065,"Baseline"
0,53,0.351981306807189,0.35853577371065,"Baseline"
0,54,0.33903560621381,0.372337770382771,"Baseline"
0,55,0.348337906041387,0.362312811980172,"Baseline"
0,56,0.351981306807189,0.35853577371065,"Baseline"
0,57,0.350165143507517,0.360407653910301,"Baseline"
0,58,0.351981306807189,0.358535773710651,"Baseline"
0,59,0.359135218341252,0.351381031614207,"Baseline"
0,60,0.359135218341252,0.351381031614206,"Baseline"
0,61,0.353786395940396,0.356697171381213,"Baseline"
0,62,0.344650208609739,0.36622296173056,"Baseline"
0,63,0.359135218341252,0.351381031614206,"Baseline"
0,64,0.369533860648492,0.341647254576029,"Baseline"
0,65,0.355580410907146,0.354891846921997,"Baseline"
0,66,0.37122820811708,0.340141430948755,"Baseline"
0,67,0.357363351707429,0.353119800332993,"Baseline"
0,68,0.367828439013441,0.34318635607352,"Baseline"
0,69,0.367828439013441,0.34318635607352,"Baseline"
0,70,0.353786395940396,0.356697171381213,"Baseline"
0,71,0.355580410907145,0.354891846921996,"Baseline"
