"Condition","Model","MeanError","LowerBoundError","UpperBoundError","SEM"
0,"Baseline",0.354942512479404,0.353373763435468,0.35651126152334,0.00156874904393625
0,"Exponential",0.426632660742002,0.422999371649694,0.43026594983431,0.00363328909230826
0,"Homothetic Exponential",0.329374958069378,0.327415831648466,0.33133408449029,0.00195912642091162
0,"Hyperbolic",0.31878861685005,0.316829843845874,0.320747389854226,0.00195877300417616
0,"Homothetic Hyperbolic",0.329766263908068,0.327401483571252,0.332131044244884,0.00236478033681578
0,"Quasi-Hyperbolic",0.433357396094054,0.426981424927706,0.439733367260401,0.00637597116634747
0,"Homothetic Quasi-Hyperbolic",0.331259740695785,0.329362634662295,0.333156846729274,0.00189710603348908
0,"Tradeoff",0.335921994786137,0.334104266830213,0.33773972274206,0.00181772795592319
0,"DRIFT",0.316589863470188,0.314152911559406,0.319026815380969,0.00243695191078153
0,"ITCH",0.316605969818545,0.313971487247297,0.319240452389793,0.0026344825712481
1,"Baseline",0.231009227485551,0.227857901762736,0.234160553208366,0.00315132572281505
1,"Exponential",0.500000000751131,0.500000000536694,0.500000000965569,2.14437578804905e-10
1,"Homothetic Exponential",0.189091329093768,0.184568821423039,0.193613836764497,0.00452250767072859
1,"Hyperbolic",0.169922325541794,0.165861819727826,0.173982831355762,0.00406050581396768
1,"Homothetic Hyperbolic",0.187675664196629,0.183819176385761,0.191532152007498,0.00385648781086854
1,"Quasi-Hyperbolic",0.331498681472461,0.327391676521518,0.335605686423405,0.00410700495094374
1,"Homothetic Quasi-Hyperbolic",0.186977741960613,0.182884695007231,0.191070788913996,0.00409304695338263
1,"Tradeoff",0.215288015772729,0.211588898211896,0.218987133333563,0.00369911756083342
1,"DRIFT",0.167214561600331,0.163010764647792,0.171418358552869,0.00420379695253854
1,"ITCH",0.16558285580671,0.161153947791843,0.170011763821577,0.00442890801486709
2,"Baseline",0.454681069958859,0.451970180140507,0.457391959777211,0.00271088981835188
2,"Exponential",0.44029953030197,0.427486040036651,0.453113020567289,0.0128134902653189
2,"Homothetic Exponential",0.38376399660176,0.379207787020601,0.388320206182919,0.00455620958115882
2,"Hyperbolic",0.376389717074855,0.371825395159874,0.380954038989835,0.0045643219149806
2,"Homothetic Hyperbolic",0.379317175251555,0.37502173932348,0.38361261117963,0.00429543592807488
2,"Quasi-Hyperbolic",0.423621179481254,0.410675827238699,0.436566531723809,0.0129453522425549
2,"Homothetic Quasi-Hyperbolic",0.384448835305193,0.380832956756051,0.388064713854335,0.00361587854914169
2,"Tradeoff",0.411871112854609,0.408065581594337,0.415676644114882,0.0038055312602723
2,"DRIFT",0.398014813801946,0.392798257317022,0.40323137028687,0.00521655648492372
2,"ITCH",0.392634136557864,0.387019139178888,0.398249133936839,0.00561499737897522
3,"Baseline",0.413888888889004,0.410476158143703,0.417301619634304,0.00341273074530091
3,"Exponential",0.495716266388629,0.493056989394414,0.498375543382845,0.00265927699421584
3,"Homothetic Exponential",0.408483313825364,0.403960238937475,0.413006388713253,0.004523074887889
3,"Hyperbolic",0.40556216379011,0.40195173178012,0.409172595800099,0.00361043200998953
3,"Homothetic Hyperbolic",0.406188546438492,0.401631615672331,0.410745477204653,0.00455693076616109
3,"Quasi-Hyperbolic",0.467164497680457,0.464426963701774,0.46990203165914,0.0027375339786829
3,"Homothetic Quasi-Hyperbolic",0.407509659370395,0.402817757043068,0.412201561697722,0.004691902327327
3,"Tradeoff",0.410696174003613,0.406884519061244,0.414507828945982,0.00381165494236882
3,"DRIFT",0.406932645795706,0.402105203156271,0.411760088435141,0.00482744263943466
3,"ITCH",0.399429174016577,0.395049542602288,0.403808805430865,0.00437963141428857
4,"Baseline",0.364616942909972,0.360814486699888,0.368419399120056,0.00380245621008374
4,"Exponential",0.476837698706186,0.468067989001382,0.485607408410991,0.00876970970480442
4,"Homothetic Exponential",0.361360983055045,0.357397984209154,0.365323981900935,0.00396299884589069
4,"Hyperbolic",0.345994440679028,0.339570187752792,0.352418693605264,0.00642425292623597
4,"Homothetic Hyperbolic",0.361032709751806,0.357651017882592,0.36441440162102,0.00338169186921441
4,"Quasi-Hyperbolic",0.430380755719142,0.421846537534484,0.438914973903799,0.00853421818465752
4,"Homothetic Quasi-Hyperbolic",0.359971136794173,0.356904903307364,0.363037370280981,0.00306623348680876
4,"Tradeoff",0.347032253832544,0.343613756382981,0.350450751282106,0.00341849744956255
4,"DRIFT",0.337386384029579,0.333454657716547,0.341318110342612,0.00393172631303262
4,"ITCH",0.337435821125408,0.33353542318231,0.341336219068505,0.00390039794309741
